QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerText,MisconceptionName
0,856,Use the order of operations to carry out calculations involving powers,33,BIDMAS,A,"\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?",Does not need brackets,"Confuses the order of operations, believes addition comes before multiplication "
1,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,D,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",\( m+1 \),"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
"
1,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,D,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",\( m+2 \),"Thinks that when you cancel identical terms from the numerator and denominator, they just disappear"
1,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,D,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",\( m-1 \),"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
"
2,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,B,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?","Only
Tom",Believes if you changed all values by the same proportion the range would not change
2,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,B,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Both Tom and Katie,Believes if you changed all values by the same proportion the range would not change
2,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,B,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Neither is correct,Believes if you add the same value to all numbers in the dataset the range will change
3,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,C,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),acute,Does not know the properties of a rectangle
3,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,C,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),obtuse,Does not know the properties of a rectangle
3,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,C,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),Not enough information,Does not know the properties of a rectangle
4,3387,Substitute positive integer values into formulae involving powers or roots,67,Substitution into Formula,A,"The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}",\( 24 \),Thinks you can find missing values in a given table by treating the row as linear and adding on the difference between the first two values given.
5,2052,Identify a unit of area,75,Area of Simple Shapes,D,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( m \),Does not know units of area should be squared
5,2052,Identify a unit of area,75,Area of Simple Shapes,D,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( \mathrm{cm} \),Does not know units of area should be squared
5,2052,Identify a unit of area,75,Area of Simple Shapes,D,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( \mathrm{km}^{3} \),Does not know units of area should be squared
6,376,Convert two digit integer percentages to fractions,238,Converting between Fractions and Percentages,B,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{62}{10} \),Does not understand a percentage is out of 100
6,376,Convert two digit integer percentages to fractions,238,Converting between Fractions and Percentages,B,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{6}{2} \),Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.
6,376,Convert two digit integer percentages to fractions,238,Converting between Fractions and Percentages,B,"Convert this percentage to a fraction
\( 62 \% \)",None of these,Does not understand a percentage is out of 100
7,314,Divide decimals by 10,224,Multiplying and Dividing with Decimals,A,\( 43.2 \div 10= \),\( 0.432 \),Divided by 100 rather than 10
7,314,Divide decimals by 10,224,Multiplying and Dividing with Decimals,A,\( 43.2 \div 10= \),\( 33.2 \),Subtracts instead of divides
7,314,Divide decimals by 10,224,Multiplying and Dividing with Decimals,A,\( 43.2 \div 10= \),\( 43.02 \),"When dividing a decimal by a multiple of 10, just divides the fractional place values "
8,435,Subtract proper fractions with different denominators which do not share a common factor,230,Adding and Subtracting Fractions,A,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",\( 5 \),Does not find a common denominator when adding/subtracting fractions
